layer,records,keep_mean_query_m90_mean,sparsity_mean_query_m90_mean,keep_p95_query_m90_mean,keep_p95_query_m90_p25,keep_p95_query_m90_p50,keep_p95_query_m90_p75,keep_p95_query_m90_p90,sparsity_p95_query_m90_mean,sparsity_p95_query_m90_p25,sparsity_p95_query_m90_p75,mass20_mean,mass20_p05_query_mean,mass20_p05_query_pass_rate
0,69120,0.3407508898619806,0.6592491101380193,0.3775787338914661,0.04956280486752289,0.34617738049439706,0.7160037878787879,0.8196534004596748,0.6224212661085339,0.28399621212121207,0.9504371951324772,0.7660099421748546,0.7344758901745081,0.45002893518518516
1,69120,0.1934473741433614,0.8065526258566386,0.2712505693742298,0.021387302514278526,0.15989899298157353,0.4923610879917338,0.7505996919882417,0.7287494306257702,0.5076389120082663,0.9786126974857214,0.8757168815281519,0.8191447609733721,0.5645688657407407
2,69120,0.19034681269527598,0.809653187304724,0.2713649601747553,0.03067547624761408,0.18184970894245184,0.45326070303868765,0.7219703258167613,0.7286350398252447,0.5467392969613123,0.9693245237523859,0.8808656429936592,0.821941758261959,0.5278645833333333
3,69120,0.20353453020009485,0.7964654697999052,0.3070022373878405,0.07634466922644413,0.24474421029139048,0.4874968095259233,0.7584216801807134,0.6929977626121595,0.5125031904740767,0.9236553307735559,0.8716426984467371,0.7992670134097959,0.438353587962963
4,69120,0.17409299628546385,0.8259070037145362,0.2696857739411179,0.0686915792600073,0.20333648065123894,0.4256312977183949,0.6913598262902462,0.7303142260588821,0.5743687022816051,0.9313084207399926,0.8940349331319642,0.8287548410201756,0.49528356481481484
5,69120,0.1620925198892864,0.8379074801107136,0.25815710975104583,0.08438127691095526,0.1633838075580019,0.41340120103624134,0.6002790046460701,0.7418428902489542,0.5865987989637587,0.9156187230890447,0.90155333934645,0.8385771195386985,0.5591724537037037
6,69120,0.1165339693753763,0.8834660306246237,0.2095091748140715,0.05528087808628275,0.17326703312421085,0.3024936637493095,0.4795561356977982,0.7904908251859285,0.6975063362506905,0.9447191219137172,0.9377014196753778,0.877344502823824,0.5472077546296297
7,69120,0.1314394660376004,0.8685605339623996,0.231872910881562,0.07880521832090435,0.18857952850033538,0.33614422576596037,0.5108863568546795,0.768127089118438,0.6638557742340396,0.9211947816790956,0.9282353644026443,0.8634745279003659,0.5200086805555556
8,69120,0.1247905138945517,0.8752094861054482,0.20806494356642086,0.07431186521896208,0.16513570920385495,0.33213225085325915,0.4541565527097143,0.7919350564335792,0.6678677491467409,0.925688134781038,0.935905835962061,0.8832502304110676,0.5621238425925926
9,69120,0.10053755486542215,0.8994624451345778,0.18426140076981487,0.06828282674153646,0.16112371117177637,0.2606786323316169,0.4025833284011995,0.8157385992301851,0.7393213676683831,0.9317171732584635,0.9519042044602058,0.9025065324295105,0.6006799768518518
10,69120,0.1181267285873236,0.8818732714126764,0.19960893627783316,0.06237214502662119,0.16299872350211098,0.30012149232806584,0.46663001474708016,0.8003910637221668,0.6998785076719342,0.9376278549733789,0.9399138082732895,0.8912094761298418,0.599609375
11,69120,0.10543366357622816,0.8945663364237718,0.1945832280889244,0.08361741460935034,0.19896145444927793,0.2775189024029356,0.3460239603061868,0.8054167719110756,0.7224810975970644,0.9163825853906497,0.9503544675039679,0.8967511503689888,0.503660300925926
12,69120,0.07920963200299071,0.9207903679970093,0.15513938608561223,0.06124999595410896,0.11457700633039378,0.22642675842901672,0.3549008579446812,0.8448606139143877,0.7735732415709833,0.938750004045891,0.9644768133078253,0.9213358591146836,0.71640625
13,69120,0.07698710780174066,0.9230128921982593,0.14184467757434302,0.0436915888930812,0.08234846712362887,0.19999991522894967,0.36048737497040717,0.858155322425657,0.8000000847710503,0.9563084111069188,0.9643387018444224,0.9259061435496228,0.7496527777777777
14,69120,0.07631584604179821,0.9236841539582018,0.15458794626115352,0.0712988843821516,0.14171082467743845,0.21582382664535985,0.29169248330472697,0.8454120537388465,0.7841761733546402,0.9287011156178484,0.9649311717073605,0.9226964475155842,0.6963541666666667
15,69120,0.10671195581438297,0.893288044185617,0.18318669521511843,0.053566913412074854,0.1263699425591363,0.25199494024719854,0.4241843391187262,0.8168133047848816,0.7480050597528014,0.9464330865879251,0.9419112313409439,0.895763616296204,0.6726851851851852
16,69120,0.08593463525226222,0.9140653647477378,0.18390030326468051,0.0611410535947241,0.15447598081646544,0.26440183080808083,0.39898544157394256,0.8160996967353195,0.7355981691919191,0.9388589464052759,0.9565436689208986,0.8989616157409425,0.6114149305555555
17,69120,0.07355549410938814,0.9264445058906119,0.134812000436824,0.02719064914818966,0.09651511606543955,0.17890308264530067,0.36115714333274146,0.8651879995631759,0.8210969173546994,0.9728093508518103,0.9628210896358791,0.9276458185032459,0.7858940972222223
18,69120,0.06324848812972389,0.936751511870276,0.12411793146906452,0.021679292543969973,0.06876573658952809,0.1947032504611545,0.3277612243035827,0.8758820685309354,0.8052967495388454,0.9783207074560301,0.9685941276312978,0.9343105486576894,0.7566840277777778
19,69120,0.07490521603294227,0.9250947839670577,0.14047304167338706,0.04316284102622909,0.0963320645419034,0.1925378163655599,0.3196982273910985,0.859526958326613,0.8074621836344401,0.9568371589737709,0.9607131326157186,0.9234709809905056,0.7601707175925926
20,69120,0.09452810759139428,0.9054718924086057,0.1864859502404382,0.10097692470357876,0.15776820327296404,0.23981050048211608,0.38099367392183553,0.8135140497595618,0.760189499517884,0.8990230752964212,0.9489601261267024,0.8984378871559683,0.6487847222222223
21,69120,0.1279832558394638,0.8720167441605362,0.22551638327924667,0.09913349151611328,0.19336171776357322,0.32097218060734295,0.46518180461845005,0.7744836167207534,0.6790278193926571,0.9008665084838867,0.9321103076942058,0.8745672442269063,0.5119791666666667
22,69120,0.12901533841105645,0.8709846615889436,0.2239209576286104,0.07036458025074968,0.16324491404523755,0.32552549574110246,0.5615554963699494,0.7760790423713896,0.6744745042588975,0.9296354197492503,0.9262383440112764,0.8669560897004515,0.572728587962963
23,69120,0.10494356268851711,0.8950564373114829,0.18897564619970866,0.08949335271661932,0.15964961196437027,0.2486742154516355,0.46098478991575914,0.8110243538002914,0.7513257845483645,0.9105066472833807,0.9460977517163243,0.8963015643612448,0.6443865740740741
24,69120,0.11657804678229415,0.8834219532177059,0.20129306899056146,0.08333333333333333,0.1652587967689591,0.27372630726207386,0.45553909455886993,0.7987069310094386,0.7262736927379261,0.9166666666666666,0.9368569824499664,0.8862035863243768,0.5945457175925926
25,69120,0.11188452889399274,0.8881154711060073,0.20157031202689857,0.09435605135830966,0.1661679046322601,0.2865766660131589,0.4159355425593829,0.7984296879731014,0.7134233339868411,0.9056439486416903,0.9411067729281193,0.8887536819881967,0.5864872685185185
26,69120,0.12426372078532724,0.8757362792146728,0.22106450667568567,0.10451229557846532,0.18592170175879894,0.3019191086894334,0.47390278209339487,0.7789354933243143,0.6980808913105666,0.8954877044215347,0.9362343723583898,0.8778955350259181,0.5342881944444444
27,69120,0.14006139541894277,0.8599386045810572,0.2334029804277096,0.10454545069222498,0.1899778886274858,0.3396732677112926,0.49639329390092324,0.7665970195722904,0.6603267322887074,0.895454549307775,0.9263323713404437,0.8679881945860365,0.5280237268518518
28,69120,0.15444047276375225,0.8455595272362477,0.2636196660885557,0.08955963019168739,0.21701388118242976,0.43067231611772017,0.5630524051550663,0.7363803339114443,0.5693276838822798,0.9104403698083126,0.9144905652048894,0.8436493782917279,0.46412037037037035
29,69120,0.14352616155633663,0.8564738384436634,0.24333726496480648,0.07162877863103694,0.19257575141059027,0.3771417174676452,0.5824380647293245,0.7566627350351935,0.6228582825323548,0.9283712213689631,0.920194497848516,0.8546999854333182,0.5142071759259259
30,69120,0.1621849207908439,0.8378150792091561,0.2600044414735153,0.1526672864201093,0.2284564085681029,0.34446492821279195,0.5218244456281566,0.7399955585264847,0.655535071787208,0.8473327135798907,0.9140686121458809,0.848728492232557,0.3932146990740741
31,69120,0.1617000657184,0.8382999342816,0.25348168577112506,0.0689835731429283,0.1890182957504735,0.41584436435892125,0.6275453817964805,0.7465183142288749,0.5841556356410788,0.9310164268570718,0.907376047811057,0.8452683365196679,0.5218460648148148
32,69120,0.20403489649095122,0.7959651035090488,0.31169051826681715,0.07422347405944207,0.28537876630070236,0.5285085196446891,0.6559406319049874,0.6883094817331828,0.47149148035531085,0.9257765259405579,0.8787416245702102,0.8012241616858066,0.4107928240740741
33,69120,0.4646294166459335,0.5353705833540665,0.5260934926516886,0.016511992252234257,0.8248579237196181,0.8592613759666983,0.8704861111111111,0.4739065073483114,0.14073862403330173,0.9834880077477658,0.6575481180843242,0.5813373313035333,0.35193865740740743
34,69120,0.3035749824315566,0.6964250175684434,0.38042438287458674,0.028353838487104936,0.3261805216471354,0.7614346436779909,0.8078289116753472,0.6195756171254132,0.23856535632200915,0.9716461615128951,0.7994515168782392,0.7297487321258005,0.42330729166666664
35,69120,0.2096116049638456,0.7903883950361544,0.32390556886450034,0.1709359217171717,0.30115530611288666,0.4827588322186711,0.5944324408637153,0.6760944311354997,0.5172411677813289,0.8290640782828282,0.8786802676747795,0.8000668001214594,0.29071180555555554
36,69120,0.2896848147271324,0.7103151852728675,0.37854903520283867,0.1142044818762577,0.3527240945835306,0.6535937684955019,0.7697171606198706,0.6214509647971613,0.3464062315044981,0.8857955181237422,0.8147055923360986,0.7439192109861997,0.3394386574074074
37,69120,0.3084347636361627,0.6915652363638374,0.41947560690963215,0.19491003402555832,0.41599430893406725,0.6535732076625631,0.7588453073212594,0.5805243930903679,0.3464267923374369,0.8050899659744417,0.8014341687184275,0.7119686393813162,0.2564236111111111
38,69120,0.42822784560831845,0.5717721543916816,0.47399894579032176,0.06883667647236526,0.6439646402994792,0.8417235095091541,0.8612942165798612,0.5260010542096782,0.1582764904908459,0.9311633235276348,0.6760736450162733,0.6341959728210458,0.37222222222222223
39,69120,0.2715406954016438,0.7284593045983563,0.376535934495255,0.17425819936424797,0.32338067257043085,0.5979245426678899,0.7556943951231061,0.623464065504745,0.40207545733211014,0.825741800635752,0.8310412850049842,0.7534944573149982,0.35457175925925927
